workload	class	iterations	notes
binarytrees	macro	-	CLBG-style allocation + tree traversal; GC pressure
bitwise_mixed	vm-parity	20000000	tight integer bitwise ops with constants
call_return_shapes	vm-parity	8000000	Lua call frame + return-shape dispatch
closure_ops	vm-parity	-	closure allocation + upvalue reads/writes
compare_immediates	vm-parity	20000000	branch-heavy integer/string constant compares
fibonacci	vm-parity	-	recursive call dispatch + small-int math
gc_pressure	vm-parity	-	allocation/collection throughput under churn
global_settabup_same	vm-parity	20000000	repeated _ENV/global SETTABUP writes to an existing slot
loop_variants	vm-parity	12000000	numeric/while/repeat/generic loop dispatch
mandelbrot	macro	-	float math + nested loops
mandelbrot_long	macro	-	longer float math profile target
numeric_mixed	vm-parity	50000000	tight integer add/mul/sub loop (#134 guard)
string_ops	stdlib	-	concat/find/gsub/byte ops
string_ops_long	stdlib	-	longer byte-string pattern/gsub target
table_field_index	vm-parity	12000000	GETFIELD/SETFIELD + GETI/SETI throughput
table_hash_pressure	vm-parity	-	string-key construction + hash insertion (#38 guard)
table_ops	stdlib	-	table.insert/remove/iterate; was LIVELOCKED until the 2026-06-09 GC key-barrier fix (missing ltable.c:717 parity)
table_ops_long	stdlib	-	longer insert/remove/iterate; 0.43x row is stdlib divergence, not VM parity
table_setfield_same	vm-parity	20000000	repeated short-string SETFIELD writes to an existing key
table_seti_same	vm-parity	20000000	repeated integer SETI writes to an existing array slot
table_settable_string_key	vm-parity	20000000	repeated string-key SETTABLE writes to an existing key
method_calls	vm-parity	6000000	OP_SELF obj:method() dispatch through a method table
metatable_index_chain	vm-parity	3000000	metamethod-PRESENT reads via 2-level __index chain
pcall_error	vm-parity	1200000	pcall overhead + error throw/unwind (2 pcalls per iteration)
varargs_spread	vm-parity	2000000	vararg pack/spread, select, table.pack/unpack
coroutine_pingpong	vm-parity	800000	resume/yield switch cost (400 coroutines x 2000 yields)
string_format_mixed	stdlib	400000	string.format mixed specifiers + tostring
concat_chain	vm-parity	1500000	short multi-operand OP_CONCAT chains
sort_seeded	stdlib	-	table.sort default + custom comparator, LCG input
json_roundtrip	macro	1500	pure-Lua JSON encode/decode round trip (real-program opcode mix)
startup_empty	startup	-	process + runtime init only; startup constant for budgets
loop_only	probe	20000000	differential probe: bare FORLOOP, lives in probes/ not workloads/
call_only	probe	8000000	differential probe: CALL/RETURN+ADD over the same loop
